County,flow
Alamance,535
Alexander,467
Alleghany,-64
Anson,-5
Ashe,-360
Avery,686
Beaufort,-407
Bertie,-305
Bladen,188
Brunswick,3206
Buncombe,1456
Burke,-122
Cabarrus,1658
Caldwell,224
Camden,225
Carteret,-274
Caswell,191
Catawba,674
Chatham,-203
Cherokee,98
Chowan,-395
Clay,442
Cleveland,-350
Columbus,720
Craven,201
Cumberland,-8084
Currituck,-309
Dare,-446
Davidson,464
Davie,523
Duplin,1191
Durham,3580
Edgecombe,-1538
Forsyth,1341
Franklin,1336
Gaston,395
Gates,-570
Graham,158
Granville,536
Greene,1062
Guilford,-1918
Halifax,507
Harnett,1546
Haywood,1074
Henderson,2665
Hertford,1338
Hoke,1680
Hyde,258
Iredell,-192
Jackson,2292
Johnston,10
Jones,-74
Lee,-739
Lenoir,-1295
Lincoln,-1145
Macon,310
Madison,550
Martin,80
McDowell,-912
Mecklenburg,9444
Mitchell,-395
Montgomery,76
Moore,-195
Nash,-204
New Hanover,2994
Northampton,4
Onslow,481
Orange,1865
Pamlico,168
Pasquotank,388
Pender,1241
Perquimans,48
Person,-378
Pitt,6595
Polk,-33
Randolph,-1185
Richmond,-876
Robeson,-869
Rockingham,515
Rowan,992
Rutherford,188
Sampson,774
Scotland,234
Stanly,-593
Stokes,-826
Surry,-209
Swain,-374
Transylvania,425
Tyrrell,103
Union,2864
Vance,-56
Wake,6014
Warren,-247
Washington,-141
Watauga,3353
Wayne,613
Wilkes,49
Wilson,-1041
Yadkin,146
Yancey,42
