County,flow
Acadia,-912
Allen,-480
Ascension,-724
Assumption,-311
Avoyelles,124
Beauregard,500
Bienville,-189
Bossier,1687
Caddo,-6884
Calcasieu,565
Caldwell,363
Cameron,-557
Catahoula,353
Claiborne,277
Concordia,-111
De Soto,254
East Baton Rouge,3220
East Carroll,643
East Feliciana,222
Evangeline,377
Franklin,310
Grant,-434
Iberia,154
Iberville,807
Jackson,376
Jefferson Davis,340
Jefferson,-3808
Lafayette,3516
Lafourche,414
LaSalle,-155
Lincoln,1469
Livingston,561
Madison,271
Morehouse,-480
Natchitoches,688
Orleans,-3568
Ouachita,-145
Plaquemines,-1352
Pointe Coupee,-142
Rapides,-99
Red River,130
Richland,-396
Sabine,-404
St. Bernard,757
St. Charles,344
St. Helena,11
St. James,64
St. John the Baptist,-787
St. Landry,-1173
St. Martin,-1244
St. Mary,-1288
St. Tammany,1697
Tangipahoa,3282
Tensas,-184
Terrebonne,-276
Union,5
Vermilion,654
Vernon,-2235
Washington,-382
Webster,-78
West Baton Rouge,272
West Carroll,-127
West Feliciana,-285
Winn,-189
