County,flow
Adair,-187
Allen,4
Anderson,97
Ballard,-32
Barren,12
Bath,-187
Bell,-529
Boone,1731
Bourbon,-576
Boyd,-185
Boyle,579
Bracken,-317
Breathitt,142
Breckinridge,-194
Bullitt,-1240
Butler,-493
Caldwell,111
Calloway,1246
Campbell,333
Carlisle,-146
Carroll,52
Carter,182
Casey,231
Christian,-483
Clark,8
Clay,-328
Clinton,108
Crittenden,-178
Cumberland,202
Daviess,-754
Edmonson,487
Elliott,131
Estill,81
Fayette,6139
Fleming,-737
Floyd,-157
Franklin,1175
Fulton,-220
Gallatin,-3
Garrard,38
Grant,-272
Graves,151
Grayson,31
Green,-19
Greenup,-391
Hancock,58
Hardin,230
Harlan,-306
Harrison,424
Hart,25
Henderson,744
Henry,131
Hickman,132
Hopkins,-34
Jackson,-785
Jefferson,-2596
Jessamine,-155
Johnson,134
Kenton,670
Knott,401
Knox,174
Larue,-107
Laurel,398
Lawrence,-115
Lee,-202
Leslie,-113
Letcher,-779
Lewis,39
Lincoln,-78
Livingston,-208
Logan,-265
Lyon,186
Madison,2106
Magoffin,-774
Marion,-163
Marshall,-232
Martin,176
Mason,-279
McCracken,-1035
McCreary,-172
McLean,-56
Meade,667
Menifee,140
Mercer,365
Metcalfe,-183
Monroe,156
Montgomery,294
Morgan,-98
Muhlenberg,-131
Nelson,-360
Nicholas,-2
Ohio,502
Oldham,649
Owen,-439
Owsley,-204
Pendleton,-279
Perry,-768
Pike,234
Powell,-564
Pulaski,-475
Robertson,32
Rockcastle,-362
Rowan,1159
Russell,-191
Scott,-26
Shelby,232
Simpson,-245
Spencer,402
Taylor,-2
Todd,78
Trigg,-312
Trimble,-534
Union,237
Warren,5979
Washington,-763
Wayne,222
Webster,-185
Whitley,-190
Wolfe,-64
Woodford,-617
