County,flow
Aitkin,-60
Anoka,-1255
Becker,-453
Beltrami,562
Benton,386
Big Stone,-291
Blue Earth,1481
Brown,-382
Carlton,-35
Carver,24
Cass,-384
Chippewa,89
Chisago,278
Clay,-903
Clearwater,73
Cook,56
Cottonwood,326
Crow Wing,-352
Dakota,-3938
Dodge,176
Douglas,322
Faribault,-158
Fillmore,-552
Freeborn,-501
Goodhue,-300
Grant,-168
Hennepin,-3142
Houston,-390
Hubbard,-617
Isanti,377
Itasca,319
Jackson,-161
Kanabec,265
Kandiyohi,-369
Kittson,-166
Koochiching,-289
Lac qui Parle,16
Lake,-208
Lake of the Woods,-4
Le Sueur,-284
Lincoln,2
Lyon,146
Mahnomen,56
Marshall,-83
Martin,-451
McLeod,-862
Meeker,-31
Mille Lacs,-279
Morrison,-650
Mower,-251
Murray,27
Nicollet,859
Nobles,-640
Norman,-76
Olmsted,-918
Otter Tail,108
Pennington,43
Pine,-337
Pipestone,66
Polk,-249
Pope,74
Ramsey,600
Red Lake,-60
Redwood,-375
Renville,61
Rice,579
Rock,33
Roseau,-158
Scott,-988
Sherburne,-1068
Sibley,-287
St. Louis,942
Stearns,4409
Steele,-745
Stevens,136
Swift,-23
Todd,-112
Traverse,-72
Wabasha,-244
Wadena,3
Waseca,156
Washington,-1464
Watonwan,-235
Wilkin,-55
Winona,867
Wright,-125
Yellow Medicine,-103
