County,flow
Adams,-1385
Asotin,847
Benton,-1573
Chelan,-1543
Clallam,-309
Clark,1493
Columbia,-4
Cowlitz,-786
Douglas,-4
Ferry,-162
Franklin,1134
Garfield,45
Grant,-604
Grays Harbor,131
Island,977
Jefferson,1104
King,5932
Kitsap,2359
Kittitas,2881
Klickitat,-116
Lewis,1388
Lincoln,-440
Mason,202
Okanogan,-591
Pacific,-160
Pend Oreille,530
Pierce,3899
San Juan,173
Skagit,863
Skamania,4
Snohomish,3715
Spokane,9448
Stevens,-645
Thurston,4036
Wahkiakum,-204
Walla Walla,1093
Whatcom,1413
Whitman,4954
Yakima,-1825
