County,flow
Adams,-1989
Alexander,-61
Bond,400
Boone,-1222
Brown,358
Bureau,-707
Calhoun,-111
Carroll,-255
Cass,-79
Champaign,7379
Christian,-31
Clark,-433
Clay,-305
Clinton,91
Coles,2694
Cook,-75376
Crawford,-30
Cumberland,160
De Witt,-461
DeKalb,3408
Douglas,-719
DuPage,-9362
Edgar,384
Edwards,-90
Effingham,-528
Fayette,104
Ford,-179
Franklin,-331
Fulton,510
Gallatin,-77
Greene,-28
Grundy,-1027
Hamilton,-288
Hancock,-525
Hardin,-162
Henderson,-73
Henry,-842
Iroquois,-105
Jackson,1663
Jasper,135
Jefferson,123
Jersey,-354
Jo Daviess,-6
Johnson,86
Kane,-4206
Kankakee,-602
Kendall,-149
Knox,-236
Lake,-5164
LaSalle,-1219
Lawrence,895
Lee,229
Livingston,-102
Logan,1541
Macon,539
Macoupin,-647
Madison,-644
Marion,-770
Marshall,-44
Mason,-164
Massac,-159
McDonough,1421
McHenry,-1805
McLean,2957
Menard,-180
Mercer,119
Monroe,441
Montgomery,956
Morgan,447
Moultrie,-51
Ogle,-720
Peoria,-1673
Perry,-318
Piatt,-104
Pike,-60
Pope,-59
Pulaski,-92
Putnam,-29
Randolph,-158
Richland,-74
Rock Island,327
Saline,-244
Sangamon,-566
Schuyler,-143
Scott,66
Shelby,-195
St. Clair,-3107
Stark,-206
Stephenson,-342
Tazewell,-1487
Union,-121
Vermilion,-498
Wabash,-142
Warren,-272
Washington,-70
Wayne,-39
White,-191
Whiteside,-621
Will,-6693
Williamson,-1013
Winnebago,-1932
Woodford,173
