County,flow
Adams,-964
Allen,1044
Ashland,508
Ashtabula,-1214
Athens,4803
Auglaize,-721
Belmont,323
Brown,-472
Butler,3169
Carroll,-72
Champaign,-163
Clark,542
Clermont,-1990
Clinton,-297
Columbiana,82
Coshocton,-65
Crawford,-494
Cuyahoga,-10865
Darke,312
Defiance,-134
Delaware,1282
Erie,95
Fairfield,1455
Fayette,-719
Franklin,5983
Fulton,-1099
Gallia,150
Geauga,-920
Greene,1476
Guernsey,-617
Hamilton,-160
Hancock,390
Hardin,213
Harrison,-515
Henry,40
Highland,-480
Hocking,177
Holmes,-712
Huron,-1039
Jackson,416
Jefferson,1250
Knox,1593
Lake,-631
Lawrence,-416
Licking,836
Logan,-556
Lorain,0
Lucas,-889
Madison,1473
Mahoning,478
Marion,1358
Medina,-1489
Meigs,221
Mercer,-861
Miami,-980
Monroe,-718
Montgomery,-77
Morgan,-482
Morrow,-1096
Muskingum,-1142
Noble,544
Ottawa,-154
Paulding,-424
Perry,-484
Pickaway,1263
Pike,25
Portage,2816
Preble,-151
Putnam,-541
Richland,-703
Ross,261
Sandusky,-384
Scioto,-892
Seneca,308
Shelby,-406
Stark,-1775
Summit,-4484
Trumbull,-2114
Tuscarawas,-173
Union,756
Van Wert,-110
Vinton,-597
Warren,1167
Washington,117
Wayne,-179
Williams,172
Wood,2173
Wyandot,24
