County,flow
Adams,-63
Ashland,24
Barron,-210
Bayfield,-263
Brown,-993
Buffalo,-63
Burnett,-74
Calumet,-1831
Chippewa,151
Clark,-966
Columbia,-904
Crawford,-24
Dane,5003
Dodge,617
Door,91
Douglas,479
Dunn,2178
Eau Claire,1247
Florence,88
Fond du Lac,-1717
Forest,30
Grant,1552
Green,232
Green Lake,-319
Iowa,-306
Iron,169
Jackson,326
Jefferson,1204
Juneau,300
Kenosha,575
Kewaunee,-567
La Crosse,2417
Lafayette,-145
Langlade,-264
Lincoln,508
Manitowoc,-1392
Marathon,-665
Marinette,3
Marquette,-282
Menominee,-54
Milwaukee,-5847
Monroe,-562
Oconto,-562
Oneida,-780
Outagamie,-714
Ozaukee,-608
Pepin,-199
Pierce,2064
Polk,148
Portage,2203
Price,118
Racine,-1549
Richland,39
Rock,-836
Rusk,-129
Sauk,-163
Sawyer,-37
Shawano,428
Sheboygan,-181
St. Croix,-1075
Taylor,157
Trempealeau,-317
Vernon,-918
Vilas,-118
Walworth,2685
Washburn,-258
Washington,-854
Waukesha,-499
Waupaca,630
Waushara,60
Winnebago,1524
Wood,-374
