County,flow
Adams,-1491
Alcorn,489
Amite,-64
Attala,305
Benton,-66
Bolivar,-168
Calhoun,27
Carroll,-526
Chickasaw,-56
Choctaw,-166
Claiborne,-94
Clarke,-411
Clay,-368
Coahoma,-180
Copiah,-141
Covington,66
DeSoto,864
Forrest,-1673
Franklin,-129
George,105
Greene,839
Grenada,-143
Hancock,127
Harrison,3955
Hinds,-3421
Holmes,-450
Humphreys,-312
Issaquena,197
Itawamba,851
Jackson,-1916
Jasper,-366
Jefferson,-273
Jefferson Davis,-104
Jones,-447
Kemper,302
Lafayette,2646
Lamar,3419
Lauderdale,1477
Lawrence,28
Leake,-91
Lee,-1952
Leflore,-373
Lincoln,-1286
Lowndes,-495
Madison,440
Marion,204
Marshall,-730
Monroe,-566
Montgomery,-170
Neshoba,-17
Newton,-447
Noxubee,-392
Oktibbeha,2052
Panola,-822
Pearl River,582
Perry,-505
Pike,445
Pontotoc,579
Prentiss,604
Quitman,96
Rankin,1472
Scott,-159
Sharkey,-106
Simpson,-68
Smith,13
Stone,27
Sunflower,-244
Tallahatchie,462
Tate,150
Tippah,152
Tishomingo,-539
Tunica,-19
Union,-896
Walthall,210
Warren,-603
Washington,-758
Wayne,-164
Webster,62
Wilkinson,74
Winston,-395
Yalobusha,-151
Yazoo,414
