County,flow
Alcona,-446
Alger,74
Allegan,-1008
Alpena,-229
Antrim,-312
Arenac,-331
Baraga,362
Barry,-539
Bay,-1578
Benzie,-250
Berrien,-1483
Branch,-403
Calhoun,-521
Cass,69
Charlevoix,61
Cheboygan,-87
Chippewa,7
Clare,-35
Clinton,-455
Crawford,1
Delta,-19
Dickinson,213
Eaton,341
Emmet,-284
Genesee,-4147
Gladwin,-409
Gogebic,-145
Grand Traverse,816
Gratiot,-342
Hillsdale,-417
Houghton,642
Huron,-408
Ingham,8315
Ionia,-54
Iosco,-146
Iron,-137
Isabella,3221
Jackson,689
Kalamazoo,5824
Kalkaska,139
Kent,2346
Keweenaw,-15
Lake,-3
Lapeer,-422
Leelanau,-23
Lenawee,44
Livingston,-2854
Luce,-55
Mackinac,-234
Macomb,-1903
Manistee,81
Marquette,1059
Mason,743
Mecosta,568
Menominee,490
Midland,463
Missaukee,-73
Monroe,-527
Montcalm,-419
Montmorency,344
Muskegon,936
Newaygo,-1098
Oakland,-7379
Oceana,373
Ogemaw,190
Ontonagon,-66
Osceola,-127
Oscoda,-74
Otsego,-252
Ottawa,3158
Presque Isle,-214
Roscommon,66
Saginaw,-1035
Sanilac,-166
Schoolcraft,-358
Shiawassee,-1099
St. Clair,1035
St. Joseph,-74
Tuscola,-486
Van Buren,-1127
Washtenaw,4969
Wayne,-26638
Wexford,-273
