County,flow
Autauga,-1396
Baldwin,2010
Barbour,-367
Bibb,462
Blount,-1568
Bullock,-596
Butler,-684
Calhoun,1090
Chambers,-122
Cherokee,-277
Chilton,-188
Choctaw,-398
Clarke,-606
Clay,-20
Cleburne,222
Coffee,123
Colbert,-99
Conecuh,-607
Coosa,89
Covington,205
Crenshaw,237
Cullman,-350
Dale,1039
Dallas,-389
DeKalb,526
Elmore,758
Escambia,-584
Etowah,439
Fayette,-48
Franklin,38
Geneva,-583
Greene,-15
Hale,-211
Henry,-100
Houston,-906
Jackson,2
Jefferson,-1671
Lamar,-156
Lauderdale,1024
Lawrence,-205
Lee,4369
Limestone,2358
Lowndes,-276
Macon,-90
Madison,674
Marengo,-184
Marion,433
Marshall,-316
Mobile,-3990
Monroe,130
Montgomery,435
Morgan,-11
Perry,-94
Pickens,-295
Pike,126
Randolph,-533
Russell,298
Shelby,1535
St. Clair,558
Sumter,-269
Talladega,-704
Tallapoosa,-1019
Tuscaloosa,6645
Walker,804
Washington,-144
Wilcox,-981
Winston,-636
