County,flow
Anderson,-42
Andrews,411
Angelina,-78
Aransas,135
Archer,-210
Armstrong,-9
Atascosa,714
Austin,405
Bailey,-215
Bandera,1134
Bastrop,1521
Baylor,21
Bee,1146
Bell,228
Bexar,8721
Blanco,245
Borden,-21
Bosque,-152
Bowie,-365
Brazoria,533
Brazos,9089
Brewster,-130
Briscoe,-20
Brooks,398
Brown,-219
Burleson,589
Burnet,1297
Caldwell,1625
Calhoun,18
Callahan,-53
Cameron,-5697
Camp,97
Carson,46
Cass,-310
Castro,-15
Chambers,772
Cherokee,-361
Childress,4
Clay,246
Cochran,-71
Coke,-73
Coleman,-414
Collin,4433
Collingsworth,-61
Colorado,-618
Comal,2277
Comanche,-165
Concho,280
Cooke,140
Coryell,-52
Cottle,-5
Crane,195
Crockett,120
Crosby,-132
Culberson,-129
Dallam,-425
Dallas,-17714
Dawson,-236
Deaf Smith,-546
Delta,91
Denton,21599
DeWitt,-315
Dickens,-4
Dimmit,-111
Donley,188
Duval,477
Eastland,-214
Ector,272
Edwards,-228
El Paso,-11347
Ellis,-1285
Erath,873
Falls,202
Fannin,1681
Fayette,-128
Fisher,-364
Floyd,-51
Foard,8
Fort Bend,5961
Franklin,-203
Freestone,368
Frio,-250
Gaines,100
Galveston,4067
Garza,640
Gillespie,-43
Glasscock,32
Goliad,-420
Gonzales,-23
Gray,365
Grayson,1937
Gregg,-578
Grimes,-148
Guadalupe,1477
Hale,928
Hall,-122
Hamilton,-116
Hansford,215
Hardeman,-395
Hardin,-353
Harris,6350
Harrison,-832
Hartley,344
Haskell,711
Hays,10145
Hemphill,157
Henderson,-327
Hidalgo,-6399
Hill,-256
Hockley,644
Hood,-599
Hopkins,-208
Houston,-358
Howard,860
Hudspeth,31
Hunt,2233
Hutchinson,26
Irion,91
Jack,329
Jackson,86
Jasper,-384
Jeff Davis,-139
Jefferson,2222
Jim Hogg,85
Jim Wells,-580
Johnson,-849
Jones,2564
Karnes,-103
Kaufman,832
Kendall,931
Kenedy,-11
Kent,42
Kerr,713
Kimble,22
King,-22
Kinney,-57
Kleberg,316
Knox,203
La Salle,3
Lamar,-436
Lamb,-149
Lampasas,-159
Lavaca,476
Lee,140
Leon,-526
Liberty,3131
Limestone,8
Lipscomb,33
Live Oak,-223
Llano,73
Loving,-100
Lubbock,6589
Lynn,-3
Madison,490
Marion,231
Martin,-73
Mason,252
Matagorda,-152
Maverick,-446
McCulloch,8
McLennan,1909
McMullen,-94
Medina,536
Menard,144
Midland,1329
Milam,-28
Mills,-46
Mitchell,321
Montague,-222
Montgomery,6566
Moore,-553
Morris,242
Motley,-62
Nacogdoches,1709
Navarro,-220
Newton,-146
Nolan,281
Nueces,4506
Ochiltree,26
Oldham,-95
Orange,1116
Palo Pinto,-155
Panola,-173
Parker,1082
Parmer,7
Pecos,400
Polk,-317
Potter,-1992
Presidio,-551
Rains,-104
Randall,736
Reagan,-36
Real,236
Red River,-584
Reeves,643
Refugio,21
Roberts,47
Robertson,-26
Rockwall,-401
Runnels,-369
Rusk,3418
Sabine,201
San Augustine,-29
San Jacinto,1459
San Patricio,669
San Saba,233
Schleicher,-316
Scurry,386
Shackelford,-106
Shelby,-293
Sherman,-35
Smith,3729
Somervell,-83
Starr,-1209
Stephens,282
Sterling,-17
Stonewall,-146
Sutton,105
Swisher,282
Tarrant,11832
Taylor,998
Terrell,16
Terry,745
Throckmorton,58
Titus,-339
Tom Green,3089
Travis,-3036
Trinity,247
Tyler,-85
Upshur,719
Upton,-24
Uvalde,518
Val Verde,-1201
Van Zandt,-474
Victoria,275
Walker,549
Waller,1313
Ward,154
Washington,390
Webb,-2954
Wharton,-514
Wheeler,-25
Wichita,2127
Wilbarger,-216
Willacy,-133
Williamson,18937
Wilson,-270
Winkler,359
Wise,-150
Wood,850
Yoakum,-387
Young,-482
Zapata,-176
Zavala,-384
