County,flow
Arkansas,-32
Ashley,-508
Baxter,-260
Benton,-606
Boone,299
Bradley,-323
Calhoun,87
Carroll,-137
Chicot,136
Clark,1220
Clay,-687
Cleburne,99
Cleveland,-347
Columbia,677
Conway,-671
Craighead,1412
Crawford,-239
Crittenden,-288
Cross,-479
Dallas,377
Desha,-497
Drew,671
Faulkner,144
Franklin,492
Fulton,214
Garland,478
Grant,-40
Greene,-177
Hempstead,113
Hot Spring,84
Howard,-85
Independence,-935
Izard,-140
Jackson,1146
Jefferson,-1774
Johnson,4
Lafayette,-36
Lawrence,235
Lee,-137
Lincoln,402
Little River,-178
Logan,307
Lonoke,-662
Madison,-296
Marion,588
Miller,1274
Mississippi,727
Monroe,-353
Montgomery,200
Nevada,-250
Newton,-69
Ouachita,-645
Perry,-179
Phillips,-59
Pike,85
Poinsett,-391
Polk,-194
Pope,266
Prairie,83
Pulaski,-3183
Randolph,-548
Saline,-566
Scott,-302
Searcy,-177
Sebastian,660
Sevier,-252
Sharp,-144
St. Francis,-288
Stone,769
Union,-69
Van Buren,70
Washington,5168
White,1352
Woodruff,-146
Yell,-109
