County,flow
Anderson,31
Bedford,-91
Benton,-67
Bledsoe,-3
Blount,-224
Bradley,-243
Campbell,119
Cannon,898
Carroll,175
Carter,263
Cheatham,517
Chester,-482
Claiborne,1017
Clay,74
Cocke,65
Coffee,1068
Crockett,248
Cumberland,1250
Davidson,3366
Decatur,-5
DeKalb,-669
Dickson,-91
Dyer,-332
Fayette,-433
Fentress,111
Franklin,713
Gibson,-533
Giles,347
Grainger,-256
Greene,-181
Grundy,-321
Hamblen,-581
Hamilton,3841
Hancock,43
Hardeman,-888
Hardin,-343
Hawkins,521
Haywood,-906
Henderson,-231
Henry,-398
Hickman,407
Houston,-129
Humphreys,-78
Jackson,-51
Jefferson,1309
Johnson,253
Knox,3409
Lake,230
Lauderdale,628
Lawrence,-392
Lewis,18
Lincoln,814
Loudon,747
Macon,-137
Madison,-916
Marion,-591
Marshall,87
Maury,2213
McMinn,-1071
McNairy,163
Meigs,-11
Monroe,404
Montgomery,-1812
Moore,38
Morgan,610
Obion,-37
Overton,-135
Perry,68
Pickett,419
Polk,94
Putnam,534
Rhea,-200
Roane,-338
Robertson,657
Rutherford,3364
Scott,190
Sequatchie,344
Sevier,873
Shelby,-7067
Smith,-834
Stewart,-59
Sullivan,294
Sumner,1969
Tipton,-296
Trousdale,-552
Unicoi,189
Union,-218
Van Buren,31
Warren,80
Washington,-634
Wayne,-276
Weakley,0
White,444
Williamson,2539
Wilson,1661
