County,flow
Barbour,-396
Berkeley,2805
Boone,214
Braxton,244
Brooke,-40
Cabell,2118
Calhoun,-79
Clay,-221
Doddridge,687
Fayette,-2402
Gilmer,222
Grant,-355
Greenbrier,-765
Hampshire,98
Hancock,46
Hardy,153
Harrison,-639
Jackson,-34
Jefferson,1086
Kanawha,-1228
Lewis,78
Lincoln,350
Logan,-845
Marion,830
Marshall,-591
Mason,71
McDowell,-679
Mercer,-893
Mineral,-426
Mingo,-530
Monongalia,3235
Monroe,90
Morgan,-84
Nicholas,-309
Ohio,-72
Pendleton,-195
Pleasants,368
Pocahontas,-342
Preston,-202
Putnam,-2440
Raleigh,-48
Randolph,505
Ritchie,-283
Roane,255
Summers,801
Taylor,79
Tucker,-62
Tyler,-38
Upshur,77
Wayne,-1254
Webster,-142
Wetzel,-62
Wirt,-208
Wood,-699
Wyoming,-273
