County,flow
Accomack,-673
Albemarle,1748
Alexandria,-1504
Alleghany,-432
Amelia,-895
Amherst,-72
Appomattox,-678
Arlington,-2508
Augusta,-792
Bath,254
Bedford,-2
Bland,476
Botetourt,-567
Bristol,691
Brunswick,48
Buchanan,-645
Buckingham,-45
Buena Vista,82
Campbell,-512
Caroline,892
Carroll,-389
Charles City,-175
Charlotte,-100
Charlottesville,-393
Chesapeake,423
Chesterfield,1613
Clarke,-113
Colonial Heights,239
Covington,375
Craig,95
Culpeper,-505
Cumberland,-179
Danville,298
Dickenson,-200
Dinwiddie,-659
Emporia,-91
Essex,-67
Fairfax,-2421
Fairfax,-13567
Falls Church,-396
Fauquier,-122
Floyd,85
Fluvanna,458
Franklin,298
Franklin,763
Frederick,-1156
Fredericksburg,1177
Galax,43
Giles,-774
Gloucester,-381
Goochland,-540
Grayson,-272
Greene,-540
Greensville,735
Halifax,-116
Hampton,-1522
Hanover,358
Harrisonburg,5552
Henrico,2452
Henry,716
Highland,95
Hopewell,-473
Isle of Wight,-528
James City,972
King and Queen,3
King George,-163
King William,266
Lancaster,-327
Lee,-38
Lexington,653
Loudoun,-119
Louisa,292
Lunenburg,4
Lynchburg,4342
Madison,-352
Manassas,-988
Manassas Park,510
Martinsville,-337
Mathews,-257
Mecklenburg,-285
Middlesex,3
Montgomery,4435
Nelson,92
New Kent,1084
Newport News,896
Norfolk,6408
Northampton,-381
Northumberland,394
Norton,778
Nottoway,-23
Orange,-1
Page,-398
Patrick,506
Petersburg,-440
Pittsylvania,270
Poquoson,123
Portsmouth,-1472
Powhatan,518
Prince Edward,102
Prince George,394
Prince William,-4397
Pulaski,0
Radford,1169
Rappahannock,-48
Richmond,3595
Richmond,316
Roanoke,-894
Roanoke,271
Rockbridge,-106
Rockingham,-1491
Russell,-64
Salem,748
Scott,-18
Shenandoah,1790
Smyth,-233
Southampton,-578
Spotsylvania,594
Stafford,2751
Staunton,1140
Suffolk,-1200
Surry,-316
Sussex,721
Tazewell,-174
Virginia Beach,-314
Warren,282
Washington,664
Waynesboro,123
Westmoreland,101
Williamsburg,1003
Winchester,396
Wise,-1392
Wythe,-121
York,110
