County,flow
Adams,-910
Antelope,-65
Arthur,36
Banner,-118
Blaine,11
Boone,-148
Box Butte,-298
Boyd,-43
Brown,-57
Buffalo,1380
Burt,-89
Butler,-413
Cass,-525
Cedar,337
Chase,-72
Cherry,-45
Cheyenne,63
Clay,-29
Colfax,-531
Cuming,120
Custer,124
Dakota,-100
Dawes,915
Dawson,-271
Deuel,103
Dixon,-328
Dodge,-365
Douglas,-3632
Dundy,62
Fillmore,-171
Franklin,-191
Frontier,114
Furnas,-88
Gage,-20
Garden,-89
Garfield,-20
Gosper,-15
Grant,6
Greeley,113
Hall,385
Hamilton,-401
Harlan,9
Hayes,-66
Hitchcock,-65
Holt,-22
Hooker,33
Howard,-313
Jefferson,116
Johnson,-71
Kearney,-31
Keith,437
Keya Paha,11
Kimball,45
Knox,-346
Lancaster,4385
Lincoln,249
Logan,77
Loup,40
Madison,-283
McPherson,3
Merrick,326
Morrill,-5
Nance,22
Nemaha,68
Nuckolls,95
Otoe,314
Pawnee,61
Perkins,9
Phelps,-4
Pierce,-371
Platte,-26
Polk,73
Red Willow,77
Richardson,-189
Rock,10
Saline,-12
Sarpy,-653
Saunders,265
Scotts Bluff,-29
Seward,350
Sheridan,-26
Sherman,12
Sioux,0
Stanton,12
Thayer,-69
Thomas,4
Thurston,-193
Valley,14
Washington,-80
Wayne,765
Webster,60
Wheeler,-5
York,201
