County,flow
Adams,770
Alamosa,484
Arapahoe,4065
Archuleta,449
Baca,-221
Bent,194
Boulder,6761
Broomfield,3713
Chaffee,-288
Cheyenne,107
Clear Creek,135
Conejos,-10
Costilla,46
Crowley,-48
Custer,-405
Delta,-597
Denver,-525
Dolores,-54
Douglas,2138
Eagle,-615
El Paso,5462
Elbert,25
Fremont,-944
Garfield,493
Gilpin,41
Grand,-412
Gunnison,467
Hinsdale,19
Huerfano,-9
Jackson,-98
Jefferson,1517
Kiowa,-23
Kit Carson,-137
La Plata,1264
Lake,269
Larimer,6132
Las Animas,-205
Lincoln,-362
Logan,594
Mesa,2258
Mineral,-5
Moffat,64
Montezuma,608
Montrose,558
Morgan,175
Otero,89
Ouray,88
Park,146
Phillips,246
Pitkin,-152
Prowers,-287
Pueblo,258
Rio Blanco,94
Rio Grande,98
Routt,307
Saguache,-364
San Juan,-239
San Miguel,296
Sedgwick,-147
Summit,-310
Teller,95
Washington,490
Weld,7033
Yuma,224
