County,flow
Adair,-333
Andrew,-72
Atchison,-225
Audrain,1060
Barry,-959
Barton,-411
Bates,-16
Benton,112
Bollinger,-169
Boone,2019
Buchanan,1374
Butler,-656
Caldwell,-73
Callaway,722
Camden,782
Cape Girardeau,1582
Carroll,93
Carter,-224
Cass,-2150
Cedar,43
Chariton,-1
Christian,671
Clark,176
Clay,720
Clinton,-237
Cole,359
Cooper,-265
Crawford,68
Dade,93
Dallas,154
Daviess,-294
DeKalb,977
Dent,144
Douglas,-170
Dunklin,342
Franklin,-745
Gasconade,51
Gentry,-85
Greene,6024
Grundy,209
Harrison,-410
Henry,-869
Hickory,-36
Holt,-2
Howard,-471
Howell,-934
Iron,299
Jackson,-4580
Jasper,-428
Jefferson,-957
Johnson,1224
Knox,-335
Laclede,685
Lafayette,-189
Lawrence,712
Lewis,421
Lincoln,-1787
Linn,-420
Livingston,257
Macon,-731
Madison,-223
Maries,119
Marion,-222
McDonald,356
Mercer,-28
Miller,-405
Mississippi,77
Moniteau,249
Monroe,205
Montgomery,-9
Morgan,-113
New Madrid,-718
Newton,300
Nodaway,1681
Oregon,-133
Osage,-126
Ozark,137
Pemiscot,-127
Perry,675
Pettis,-132
Phelps,1516
Pike,-176
Platte,1664
Polk,843
Pulaski,8429
Putnam,-34
Ralls,-191
Randolph,132
Ray,131
Reynolds,-131
Ripley,150
Saline,-276
Schuyler,161
Scotland,104
Scott,-283
Shannon,233
Shelby,52
St. Charles,-371
St. Clair,432
St. Francois,293
St. Louis city,-6584
St. Louis,-3637
Ste. Genevieve,297
Stoddard,648
Stone,556
Sullivan,-533
Taney,686
Texas,786
Vernon,-26
Warren,-81
Washington,-363
Wayne,-1
Webster,1227
Worth,-89
Wright,-376
