County,flow
Alachua,1572
Baker,454
Bay,-1129
Bradford,1560
Brevard,3981
Broward,3049
Calhoun,-44
Charlotte,4930
Citrus,276
Clay,5417
Collier,6114
Columbia,2133
DeSoto,797
Dixie,456
Duval,277
Escambia,4101
Flagler,38
Franklin,452
Gadsden,-115
Gilchrist,247
Glades,522
Gulf,576
Hamilton,227
Hardee,-893
Hendry,786
Hernando,2458
Highlands,937
Hillsborough,5523
Holmes,464
Indian River,3235
Jackson,461
Jefferson,680
Lafayette,174
Lake,6464
Lee,14859
Leon,6600
Levy,623
Liberty,-29
Madison,444
Manatee,12375
Marion,6523
Martin,4964
Miami-Dade,-38757
Monroe,252
Nassau,1472
Okaloosa,-3724
Okeechobee,9
Orange,12245
Osceola,3094
Palm Beach,15467
Pasco,1396
Pinellas,8810
Polk,4354
Putnam,684
Santa Rosa,2187
Sarasota,4383
Seminole,4832
St. Johns,6444
St. Lucie,5063
Sumter,5366
Suwannee,874
Taylor,907
Union,459
Volusia,7754
Wakulla,596
Walton,1664
Washington,445
