County,flow
Adair,-754
Alfalfa,163
Atoka,-72
Beaver,-221
Beckham,-700
Blaine,32
Bryan,-519
Caddo,-46
Canadian,865
Carter,-352
Cherokee,-292
Choctaw,-197
Cimarron,-152
Cleveland,5593
Coal,-79
Comanche,3964
Cotton,-68
Craig,513
Creek,-2449
Custer,141
Delaware,-157
Dewey,-48
Ellis,146
Garfield,547
Garvin,-1188
Grady,-350
Grant,-281
Greer,-13
Harmon,-122
Harper,-255
Haskell,-547
Hughes,-231
Jackson,-681
Jefferson,141
Johnston,-194
Kay,686
Kingfisher,-101
Kiowa,217
Latimer,-65
Le Flore,-416
Lincoln,-13
Logan,880
Love,-251
Major,154
Marshall,-46
Mayes,-481
McClain,307
McCurtain,-960
McIntosh,-402
Murray,70
Muskogee,1622
Noble,-88
Nowata,-74
Okfuskee,-510
Oklahoma,996
Okmulgee,469
Osage,-961
Ottawa,-713
Pawnee,-447
Payne,2704
Pittsburg,707
Pontotoc,201
Pottawatomie,1025
Pushmataha,-121
Roger Mills,-54
Rogers,-1387
Seminole,421
Sequoyah,96
Stephens,-487
Texas,-158
Tillman,-20
Tulsa,2472
Wagoner,14
Washington,631
Washita,-367
Woods,81
Woodward,-468
