County,flow
Aurora,-569
Beadle,-896
Bennett,84
Bon Homme,362
Brookings,1208
Brown,1457
Brule,-26
Buffalo,-168
Butte,106
Campbell,59
Charles Mix,149
Clark,-71
Clay,678
Codington,-394
Corson,-181
Custer,105
Davison,438
Day,178
Deuel,-3
Dewey,-467
Douglas,75
Edmunds,44
Fall River,-243
Faulk,238
Grant,-103
Gregory,-23
Haakon,-104
Hamlin,-125
Hand,-40
Hanson,116
Harding,29
Hughes,111
Hutchinson,76
Hyde,25
Jackson,32
Jerauld,-44
Jones,-148
Kingsbury,87
Lake,234
Lawrence,1465
Lincoln,867
Lyman,61
Marshall,51
McCook,223
McPherson,248
Meade,1715
Mellette,-6
Miner,9
Minnehaha,-3849
Moody,-144
Oglala Lakota,-817
Pennington,-839
Perkins,-53
Potter,-41
Roberts,-205
Sanborn,4
Spink,43
Stanley,-86
Sully,-75
Todd,85
Tripp,87
Turner,66
Union,116
Walworth,60
Yankton,122
Ziebach,-307
