County,flow
Adams,-503
Allen,-1986
Bartholomew,-947
Benton,384
Blackford,-356
Boone,190
Brown,-112
Carroll,27
Cass,-690
Clark,415
Clay,-161
Clinton,-784
Crawford,223
Daviess,-68
Dearborn,-299
Decatur,-119
DeKalb,-730
Delaware,3227
Dubois,-669
Elkhart,-3108
Fayette,-826
Floyd,-1377
Fountain,-227
Franklin,434
Fulton,136
Gibson,272
Grant,169
Greene,-18
Hamilton,3103
Hancock,-595
Harrison,168
Hendricks,679
Henry,-98
Howard,120
Huntington,313
Jackson,-74
Jasper,-1
Jay,-623
Jefferson,121
Jennings,186
Johnson,1245
Knox,1073
Kosciusko,112
LaGrange,170
Lake,-1233
LaPorte,3430
Lawrence,-1006
Madison,-313
Marion,-12971
Marshall,-378
Martin,-3
Miami,214
Monroe,7298
Montgomery,435
Morgan,894
Newton,149
Noble,-196
Ohio,-36
Orange,-30
Owen,184
Parke,865
Perry,693
Pike,-667
Porter,536
Posey,2
Pulaski,-124
Putnam,381
Randolph,-1024
Ripley,-401
Rush,178
Scott,-174
Shelby,-150
Spencer,-416
St. Joseph,-1040
Starke,43
Steuben,561
Sullivan,-19
Switzerland,226
Tippecanoe,5388
Tipton,14
Union,157
Vanderburgh,206
Vermillion,-226
Vigo,2103
Wabash,-5
Warren,-214
Warrick,-390
Washington,-455
Wayne,997
Wells,-200
White,-591
Whitley,-201
