County,flow
Adams,-239
Barnes,131
Benson,-160
Billings,59
Bottineau,-91
Bowman,-104
Burke,134
Burleigh,1163
Cass,5092
Cavalier,79
Dickey,104
Divide,-215
Dunn,151
Eddy,-53
Emmons,-71
Foster,-36
Golden Valley,58
Grand Forks,2716
Grant,45
Griggs,6
Hettinger,4
Kidder,95
LaMoure,2
Logan,-66
McHenry,51
McIntosh,-93
McKenzie,-449
McLean,36
Mercer,133
Morton,351
Mountrail,-151
Nelson,6
Oliver,-41
Pembina,-186
Pierce,251
Ramsey,184
Ransom,-71
Renville,29
Richland,535
Rolette,-576
Sargent,-176
Sheridan,34
Sioux,-124
Slope,-33
Stark,-92
Steele,-1
Stutsman,389
Towner,-90
Traill,198
Walsh,-174
Ward,-477
Wells,-114
Williams,255
