County,flow
Allen,-671
Anderson,298
Atchison,-281
Barber,-42
Barton,597
Bourbon,-505
Brown,84
Butler,-61
Chase,139
Chautauqua,-22
Cherokee,-181
Cheyenne,77
Clark,78
Clay,368
Cloud,440
Coffey,296
Comanche,-6
Cowley,297
Crawford,696
Decatur,-114
Dickinson,62
Doniphan,139
Douglas,1858
Edwards,-28
Elk,-119
Ellis,914
Ellsworth,88
Finney,-876
Ford,-488
Franklin,-657
Geary,-442
Gove,-24
Graham,-27
Grant,-691
Gray,119
Greeley,-48
Greenwood,-141
Hamilton,-185
Harper,-60
Harvey,-699
Haskell,-96
Hodgeman,-12
Jackson,358
Jefferson,-296
Jewell,4
Johnson,1785
Kearny,-66
Kingman,52
Kiowa,-109
Labette,-94
Lane,-74
Leavenworth,-957
Lincoln,-20
Linn,43
Logan,22
Lyon,896
Marion,190
Marshall,-159
McPherson,-338
Meade,-40
Miami,-364
Mitchell,-47
Montgomery,2
Morris,-252
Morton,-83
Nemaha,148
Neosho,440
Ness,19
Norton,140
Osage,-232
Osborne,57
Ottawa,-90
Pawnee,13
Phillips,46
Pottawatomie,184
Pratt,59
Rawlins,0
Reno,824
Republic,169
Rice,419
Riley,44
Rooks,109
Rush,-79
Russell,7
Saline,-552
Scott,233
Sedgwick,-2427
Seward,453
Shawnee,125
Sheridan,-15
Sherman,267
Smith,-111
Stafford,-18
Stanton,-102
Stevens,206
Sumner,-150
Thomas,-296
Trego,17
Wabaunsee,346
Wallace,-80
Washington,7
Wichita,-175
Wilson,-421
Woodson,-53
Wyandotte,-2382
