County,flow
Albany,1530
Allegany,370
Bronx,-16918
Broome,1644
Cattaraugus,-1599
Cayuga,-442
Chautauqua,1488
Chemung,-952
Chenango,-620
Clinton,2510
Columbia,-830
Cortland,-637
Delaware,972
Dutchess,1570
Erie,-2969
Essex,-707
Franklin,1013
Fulton,-825
Genesee,-426
Greene,-1182
Hamilton,-92
Herkimer,-1104
Jefferson,-2249
Kings,-50567
Lewis,-355
Livingston,532
Madison,67
Monroe,-835
Montgomery,-266
Nassau,-11536
New York,-22747
Niagara,-1842
Oneida,516
Onondaga,-2020
Ontario,626
Orange,-2971
Orleans,-133
Oswego,272
Otsego,1259
Putnam,-1022
Queens,-22685
Rensselaer,2829
Richmond,-6110
Rockland,-3547
Saratoga,-30
Schenectady,-2773
Schoharie,-20
Schuyler,42
Seneca,182
St. Lawrence,1680
Steuben,-889
Suffolk,-15520
Sullivan,545
Tioga,-548
Tompkins,2021
Ulster,-131
Warren,-1299
Washington,999
Wayne,-497
Westchester,-4544
Wyoming,574
Yates,933
