County,flow
Adams,-993
Allegheny,-2814
Armstrong,-241
Beaver,-1115
Bedford,-463
Berks,-261
Blair,-774
Bradford,-1446
Bucks,-2447
Butler,909
Cambria,-708
Cameron,83
Carbon,-558
Centre,9589
Chester,-2311
Clarion,832
Clearfield,1153
Clinton,970
Columbia,-178
Crawford,-622
Cumberland,4981
Dauphin,-857
Delaware,-697
Elk,-699
Erie,200
Fayette,-1840
Forest,438
Franklin,-1432
Fulton,-63
Greene,-252
Huntingdon,511
Indiana,4464
Jefferson,-673
Juniata,38
Lackawanna,361
Lancaster,451
Lawrence,-418
Lebanon,583
Lehigh,-193
Luzerne,-678
Lycoming,-146
McKean,-228
Mercer,70
Mifflin,47
Monroe,-1404
Montgomery,44
Montour,-155
Northampton,210
Northumberland,-232
Perry,-767
Philadelphia,-11470
Pike,-922
Potter,-185
Schuylkill,-2095
Snyder,215
Somerset,-595
Sullivan,197
Susquehanna,-233
Tioga,-489
Union,2080
Venango,31
Warren,-407
Washington,1377
Wayne,300
Westmoreland,-2109
Wyoming,-14
York,-233
