County,flow
Ada,1985
Adams,-188
Bannock,-95
Bear Lake,-181
Benewah,-156
Bingham,-1317
Blaine,-333
Boise,328
Bonner,215
Bonneville,-155
Boundary,99
Butte,-110
Camas,-16
Canyon,3446
Caribou,-87
Cassia,-7
Clark,-23
Clearwater,414
Custer,-75
Elmore,-22
Franklin,520
Fremont,21
Gem,-4
Gooding,282
Idaho,13
Jefferson,-78
Jerome,-27
Kootenai,2252
Latah,686
Lemhi,-84
Lewis,-160
Lincoln,-598
Madison,-201
Minidoka,87
Nez Perce,-412
Oneida,245
Owyhee,440
Payette,140
Power,-498
Shoshone,39
Teton,356
Twin Falls,1008
Valley,807
Washington,62
