County,flow
Alameda,-1894
Alpine,42
Amador,624
Butte,1379
Calaveras,-234
Colusa,-807
Contra Costa,6824
Del Norte,153
El Dorado,-1022
Fresno,-855
Glenn,-614
Humboldt,2637
Imperial,-2887
Inyo,-345
Kern,2662
Kings,2175
Lake,898
Lassen,1613
Los Angeles,-97423
Madera,-2736
Marin,650
Mariposa,-24
Mendocino,809
Merced,1215
Modoc,36
Mono,-180
Monterey,-2183
Napa,-327
Nevada,-447
Orange,-10998
Placer,-527
Plumas,-142
Riverside,17661
Sacramento,5763
San Benito,-776
San Bernardino,13282
San Diego,-32145
San Francisco,-9787
San Joaquin,5848
San Luis Obispo,5259
San Mateo,-4072
Santa Barbara,5243
Santa Clara,-10232
Santa Cruz,2274
Shasta,-174
Sierra,-380
Siskiyou,-625
Solano,1755
Sonoma,2173
Stanislaus,-521
Sutter,-2351
Tehama,-72
Trinity,-31
Tulare,-922
Tuolumne,1029
Ventura,-2478
Yolo,5348
Yuba,1192
