County,flow
Adair,-277
Adams,-337
Allamakee,90
Appanoose,-221
Audubon,-315
Benton,-470
Black Hawk,-978
Boone,364
Bremer,-178
Buchanan,-151
Buena Vista,532
Butler,-513
Calhoun,151
Carroll,-580
Cass,-87
Cedar,-258
Cerro Gordo,-409
Cherokee,-6
Chickasaw,-589
Clarke,240
Clay,141
Clayton,-282
Clinton,61
Crawford,-59
Dallas,246
Davis,-31
Decatur,56
Delaware,-161
Des Moines,-273
Dickinson,-394
Dubuque,680
Emmet,-26
Fayette,402
Floyd,40
Franklin,-48
Fremont,-326
Greene,92
Grundy,-763
Guthrie,-181
Hamilton,-311
Hancock,-142
Hardin,-129
Harrison,-461
Henry,231
Howard,-62
Humboldt,90
Ida,-119
Iowa,310
Jackson,262
Jasper,185
Jefferson,-488
Johnson,2391
Jones,-60
Keokuk,55
Kossuth,-157
Lee,-924
Linn,316
Louisa,99
Lucas,185
Lyon,-154
Madison,-70
Mahaska,81
Marion,128
Marshall,236
Mills,62
Mitchell,-211
Monona,-154
Monroe,-61
Montgomery,24
Muscatine,-1424
O'Brien,63
Osceola,-457
Page,-60
Palo Alto,-330
Plymouth,-398
Pocahontas,-33
Polk,5863
Pottawattamie,214
Poweshiek,229
Ringgold,-146
Sac,-18
Scott,-1999
Shelby,-160
Sioux,241
Story,4870
Tama,-91
Taylor,-188
Union,-141
Van Buren,-139
Wapello,-771
Warren,774
Washington,395
Wayne,-164
Webster,562
Winnebago,-152
Winneshiek,255
Woodbury,-1175
Worth,240
Wright,198
