County,flow
Appling,-1278
Atkinson,-791
Bacon,132
Baker,-41
Baldwin,1035
Banks,-82
Barrow,-618
Bartow,-728
Ben Hill,-658
Berrien,-200
Bibb,189
Bleckley,256
Brantley,548
Brooks,-38
Bryan,485
Bulloch,2497
Burke,-359
Butts,151
Calhoun,370
Camden,439
Candler,277
Carroll,2082
Catoosa,-151
Charlton,252
Chatham,4004
Chattahoochee,-485
Chattooga,-912
Cherokee,1013
Clarke,7168
Clay,211
Clayton,6134
Clinch,272
Cobb,9035
Coffee,-447
Colquitt,400
Columbia,363
Cook,-5
Coweta,516
Crawford,-91
Crisp,283
Dade,520
Dawson,352
Decatur,-173
DeKalb,1108
Dodge,263
Dooly,606
Dougherty,72
Douglas,269
Early,-573
Echols,238
Effingham,-72
Elbert,-318
Emanuel,352
Evans,-152
Fannin,369
Fayette,-2570
Floyd,557
Forsyth,2368
Franklin,-364
Fulton,-12344
Gilmer,721
Glascock,-148
Glynn,768
Gordon,338
Grady,359
Greene,87
Gwinnett,2164
Habersham,838
Hall,909
Hancock,-32
Haralson,466
Harris,5
Hart,407
Heard,73
Henry,3728
Houston,-49
Irwin,73
Jackson,-605
Jasper,360
Jeff Davis,-659
Jefferson,-522
Jenkins,-331
Johnson,-350
Jones,-475
Lamar,637
Lanier,549
Laurens,-1689
Lee,379
Liberty,-2108
Lincoln,-117
Long,696
Lowndes,1126
Lumpkin,880
Macon,197
Madison,982
Marion,578
McDuffie,-377
McIntosh,325
Meriwether,-173
Miller,-118
Mitchell,158
Monroe,613
Montgomery,454
Morgan,-587
Murray,-844
Muscogee,3782
Newton,3
Oconee,398
Oglethorpe,636
Paulding,58
Peach,256
Pickens,21
Pierce,-585
Pike,489
Polk,-675
Pulaski,-169
Putnam,164
Quitman,-23
Rabun,-430
Randolph,-355
Richmond,1081
Rockdale,71
Schley,306
Screven,-310
Seminole,-340
Spalding,-1782
Stephens,-137
Stewart,878
Sumter,187
Talbot,-321
Taliaferro,6
Tattnall,1557
Taylor,317
Telfair,-486
Terrell,-24
Thomas,-512
Tift,-1067
Toombs,-630
Towns,-73
Treutlen,-362
Troup,957
Turner,-89
Twiggs,-748
Union,46
Upson,-1152
Walker,528
Walton,-566
Ware,199
Warren,-285
Washington,84
Wayne,-395
Webster,91
Wheeler,-621
White,-28
Whitfield,946
Wilcox,208
Wilkes,183
Wilkinson,51
Worth,141
